Hotelname,Review,Reviewed By,Date,Rating
The Altira Hotel,Is a nice decent hotel with clean bathroom. The staff is helpful.Although then don't have restaurant in the compound but they serve from there well known old restaurant and the food is good. If u want to visit telco this is the place for u. The hotel is hard to find and the surrounding location is not good. Overall best hotel if u want to be in telco,asish_g,25-Mar-17,5
The Altira Hotel,"Good hotel, bit outskirt from the city, but if you are visiting any of the Tata Offices - then this is the most convenient place to stay. Reception staffing is bit issue but rest is excellent. As of now no restaurants in the hotel & they provide food from their decade old so called Dhaba - which is mouthwatering. KUDOS to all staffs there.",saumen2006,9-Dec-16,4
The Mahal Inn,"This is a pathetic hotel and has abusive staff. I booked this hotel via MMT. The booking was confirmed and payment was made in full. When I arrived at the hotel, they didnot gave me a room saying that the hotel is full. I asked the guy (name is Dev) how this is possible when I have an advanced booking. He said he don't know and asked me to wait and talk to the GM of the hotel. The GM arrived after half an hour and said we cannot give u a room as the hotel is full. I asked him to cancel my booking coz if I cancel my booking then MMT will deduct cancellation charges and he said and I quote ""main ku karoon beh***od, khud kar saale aur bhag ja yahan se koi room nai hai yahan."" I asked him not to use abusive language and speak nicely, and he responeded and I quote ""saale yahin maar dunga beh***od, koi dhoond bhi nahi payega tere ko."" Please do not book this hotel as it threatens your life",sunnypc99,28-Dec-17,1
The Mahal Inn,"Food Quality is Good, Quite Place, Non Veg Items are more popular, Good place celebration marriage ceremony & other parties, Ample space for big ceremony. Approach road is good. Overall good place. One can dine here.",Ash K,25-Jun-17,4
The Mahal Inn,the location is excellent. on the outskirts of the city .the place is good for small and big parties. food is also decent.but could have been better great service.polite support staffs. its good for small hangouts too.,pranay6687,21-Jul-16,4
Motel Madhuban,"Best hotel as per its location, no other competitors near by so far, good food, people having work in and around adityapur, kandra, Gamharia, Jamshedpur this is the ultimate hotel. Rooms are good, adequate parking. Overall Very Good.",Ash K,29-Jun-17,4
Motel Madhuban,"Was there for a wedding and the arrangements for hotel and rooms was just below par. no was there to even see that we have drinking water in the rooms, towels in the bathroom, and even show how to switch on the lights of various bulbs in the room/bathroom. The bed sheets were torn, pillow was just flat and filthy. no mode of communication form the room to any outlets. laundry service was pathetic and charges was huge",NirajkumarSinha,11-Apr-17,1
Motel Madhuban,"The hotel is located on a highway, outside Jamshedpur. 

Rooms were ok, but they are definitely too expensive. A/C works properly, while the bathroom is a bit outdated.

At the time of check-out, although we had booked through an international website, we were asked to pay more than the agreed price.

Waiters and staff used to get into the room without even knocking on the door. 

Not recommended.",Matteo F,25-Mar-16,2
JK Residency,The hotel is near a marketplace and has a good ambiance. The rooms don't have a great view but the bed and the bathrooms are neat and clean. The restaurant is good and gives a good variety of options.,nandishkenia,22-Jan-18,4
JK Residency,"This hotel is good place for business stay. very near to Sakchi market. Food in the restaurant is excellent. but breakfast offered as complimentary is not good. needs improvement.
This hotel rooms are rarely seen in Goibibo but we can directly contact and get the room booked. I am a regular visitor to this hotel and they provide special discount",Priyamohan72,3-Oct-17,4
JK Residency,"This review is only for Appetite, of JK Residency.

The Food is great and so is the ambiance. Seating arrangements is also quite well planned and appreciative. However, its the service that has disappointed me almost everytime I have been there.

Last time I went there, our waiter goofed up with our order. Part order came, part didn't. Even they were not well informed with the drinks offer that was going on. Needless to say, even the manager didn't agree with the ignorance of the waiter. We had to strongly put our case for them to take a note of it.

Such service is not appreciable from a restaurant who boasts of such stature. Rest all, as I mentioned earlier, regarding the food and all was very appreciable.",Samayak M,3-Jun-17,3
JK Residency,I mostly prefer staying at this hotel during my trips to the city. Location wise it's very approachable and provides a comfortable stay with good food. Only negative point I found is that they don't have all English channel's subscription for their TV.,Mudit M,20-Nov-16,4
Ginger Hotel Jamshedpur,I am on business trip to jamshedpur and I stayed in ginger hotel. The hotel is very neat and clean and all the staff is very co operative. Specially keshav is very a freindly person and supportive. I will stay in ginger only,nikunj c,7-Apr-18,4
Ginger Hotel Jamshedpur,Well budgeted neat and clean hotel. Hotel staff are very kind and polite. Specially Mr. Keshav is a nice guy. Food is also good. Nearer to Railway Station and center of the city. Easy excess to biggest mall.,anand p,7-Apr-18,4
Ginger Hotel Jamshedpur,Hotel is very neat n clean. All staff members are very co operatives. Mr. Keshav dey has gave us very good service during dinner. Very soft n kind person.also all managers are very co operatives. Thanks to all.,jay p,7-Apr-18,4
Ginger Hotel Jamshedpur,"FO team Alveer, Rumana, Debsankar Khanda and Sanit from F&B are very friendly and curtious . Cleanliness, Service, everything is good one of the recommended Hotel in Tata Nagar access to railway Station is good",Goutham K,6-Apr-18,5
Ginger Hotel Jamshedpur,"Stay was very good and pleasant, being a Hotelier I am aware of each and every operation in the industry namely FO team Alveer, Rumana, Debsankar Khanda and Sanit from F&B are very friendly and curtious . should take care of Wi-fi speed is not up to the mark though it?s a family trip fine but for a business trip they need to work on it . Breakfast is good and room service needs improvement on the food delivery",Imerasparesort,6-Apr-18,5
Ginger Hotel Jamshedpur,Room service and room cleaning is very good.all time is good service . Specially housekeeping staff mr Deepak das.testy food and ginger hotel jamshedpur all staff is good . Regular I am staying in this hotel .And my second home in ginger hotel.,manoj d,5-Apr-18,5
Ginger Hotel Jamshedpur,Regular I am staying in this hotel. DŠepak Das had good experience in housekeeping and cleaning. He was very helpful and time pantuation while cleaning the room. Ginger hotel prime location of jamshedpur and have easy connectevity to all part of city. I really like the room cleaneness of the hotel. And all the staff were good and halfful.,Prabha G,5-Apr-18,5
Ginger Hotel Jamshedpur,"I can't help myself from falling in love with everything in this hotel.There isn't single negative-point that I could say about Ginger Hotel @ Jamshedpur.



I liked everyone in Ginger Hotel @ Jamshedpur.  

One of the greatest gifts you can give to anyone is the gift of attention. 

I had a chance to meet with Dipankar, who is working as a wait-stuff. His is attentive, fast, pleasant, unobtrusive. My wife don't like spicy food. With the help of Dipankar and his chef, my wife was able to eat all different kinds of food @ Ginger. And I must confess, Ginger's chef is one of the best chef in Jamshedpur. As they are capable to prepare tasty & delicious food, even-though it wasn't too spicy. I would like to say thanks and appreciate to Dipankar!!! Keep it up!!!


Everyone at Ginger hotel were so good, helpful, friendly, humble and laborious. If I need to stay @ Jamshedpur, then I will stay in Ginger. I would like to appreciate Surbhi and Rumana for their effort and good work.",abhi8812,2-Apr-18,5
Ginger Hotel Jamshedpur,"Appreciate Mr. Keshab for his excellent service during my entire stay at GHJ for a week in the month of April.

Nice communication with prompt service assistance.

Keep it up.

Thanks and regards,

Anant Shaligram.

9730032352.",854anants,2-Apr-18,5
Ginger Hotel Jamshedpur,"Keshab dey is very good in services and he is very soft spoken hard working guy.
Hospitality was great. My room no. 122.
Hotel ambience is great with open spaces.
I highly recommend this hotel for visitors",Vishvaraj S,27-Mar-18,5
Ginger Hotel Jamshedpur,"Not as great as expected wrt food
Rooms were decent and not much if issue with respect to Wi-Fi and other faculties however the food taste did not meet our expectations at all. Chicken was not well cooked. Dishes were not at all tasty.",Ravi A,24-Mar-18,4
Ginger Hotel Jamshedpur,"Had pleasant stay at Ginger.. Restaurant provides delicious and tasty food for breakfast.. whenever I go to Restaurant, Mr. Dipankar always comes in front with a smile and warm greetings.. he is very soft spoken and polite.. active and respond immediately.

Had great stay in Jamshedpur.",Venu B,24-Mar-18,5
Ginger Hotel Jamshedpur,"Hotel is good location for railway station & good house keeping. Staff is co-operating. Debsankar and saikat from reception is very co-operative person, Subrat for house keeping is very polite. I will recommend my office staff & friends.",Kamala E,24-Mar-18,5
Ginger Hotel Jamshedpur,Excellent room condition with best services. Specially room cleaning mr deepak das very professional. FOOD WAS VERY GOOD. GINGER HOTEL JAMSHEDPUR ALL STAFF ARE ALL TIME AWESOME SERVICE . Specially thanks for mr deepak das all time are good service. And thanks to all ginger staff,nitish singh r,24-Mar-18,5
Ginger Hotel Jamshedpur,"Regularly I am staying in this hotel, During my planned business visit to TATA STEEL,
i consider it an excellent hotel with good hygienic and discipline staff, Restaurant found to good with delicious food",sureshsblr34,24-Mar-18,5
Ginger Hotel Jamshedpur,ts a very nice place to stay. It has all the facilities you desire for in this price range. All the staffs are very cooperative. Main highlight is the hygiene and cleanliness of the rooms and bathrooms,Vidhu S,17-Mar-18,5
Ginger Hotel Jamshedpur,I have stayed on this hotel 05 th March till 08th March and i have found this hotel is very good Housekeeping staff are very good good city good people Beautiful city I am special thanks to Front Office staff Mr Saikat Sarkar he is very helpful and very energetic staff,Harendra S,17-Mar-18,5
Ginger Hotel Jamshedpur,Ginger room cleaning excellent by Mr Deepak das.food was very good. my 1 st time stay in ginger hotel .All time is very good services.front office service is good .Ginger hotel Jamshedpur all staff are good .,Ketan M,17-Mar-18,5
Ginger Hotel Jamshedpur,Ginger hotel Jamshedpur is very good hotel .all staff are very good nature are very good.specially ginger staff Deepak das and Ajit Singh are very good room cleaning. Food is excellent .and thanks to all ginger staff,Vijay J,17-Mar-18,5
Ginger Hotel Jamshedpur,"Ginger hotel, Jamshedpur lives up to the expectations one has of a Ginger hotel as a super business stay destination. It offers almost all the amenities and facilities one looks for, and some are available on asking or sharing (such as newspaper in the lobby, iron board on each floor). But the comfort, cleanliness and service are excellent. Modest breakfast and dinner layout, but considering the buffet charge (breakfast comes free with the room), it's certainly good enough. Service either in the dining room or in-room is fast and efficient. Wi-fi is very fast.",akg_9,17-Mar-18,4
Ginger Hotel Jamshedpur,"I am staying in this hotel for the last 5 months. Entire support staff is amazing and very humble. Kind of attire this hotel provides has ensured me not missing my family, and enabled me to focus on my official work.

Especially Sujay, Deepankar, Amrik has been exceptionally responsive.

Maintenance staff has always been very quick.

If you are in Jamshedpur, this is the hotel that you need to choose",pop r,10-Mar-18,5
Ginger Hotel Jamshedpur,"People are so polite and responsible, took very care.. Especially the room service boy called sujoy, very honest and humble.

Near to work and located in prime location of Jamshedpur , you can found shopping malls and site seeing near by.",A TripAdvisor Member,10-Mar-18,5
Ginger Hotel Jamshedpur,"1st time in Ginger Hotels and and it has given me an awesome experience. They say the 1st impression is the last impression. The Front Office Executives viz Amrik, Rumana and Surbhi, i will call them the face of Ginger Jamshedpur with good communication and approach. God Bless you guys and i will surely reccomend my family and friends to come here always. The support staff good too no doubt. All the best.",mihir s,3-Mar-18,5
Ginger Hotel Jamshedpur,"We had an excellent stay in Ginger, we arrived at the train station, and were pleased to know the hotel was only a few shorts blocks away. Nice, helpful and friendly staff, good restaurant, good morning buffet. Would again return for a stay at this hotel. Special thanks to prabanjan at front desk.",RiteshR7R,10-Mar-18,5
Ginger Hotel Jamshedpur,"We went for the founders day (Tata) and stayed at this hotel.
its very clean and well maintained. staff is amazingly efficient right from the check in
mr prabanjan was helpful.
in house restaurant is good for lunch/dinner . their breakfast isnt all that good very oily food. no booze (carry your own and have in the room)",bond2015,10-Mar-18,5
Chandra Hotel,"We were on a road trip and stopped here for an overnight stay. It was pretty late when we checked in. Thankfully, they had a room available. It was very neat and clean and the air conditioner worked just fine. The washroom was clean and well stocked with soaps and shampoos. we didn't need anything more for our short stay.",smartaleck_aj,28-Sep-17,4
Chandra Hotel,"It is an average hotel on the outskirts of jamshedpur city. The staff here are very nice people. The rooms are kinda cheap, but the amenities in the room are not completely upto date. I mean, it's clean and all, but the place had n old fashioned tv and our washroom's geyser seemed old.

Overall, its a nice place to stay if you are travelling on a budget.",akj0700,31-Mar-17,4
Chandra Hotel,We had a adventure course on the outskirts of Jamshedpur and we had a day to kill and we friends decided to spend the night here. The rooms were properly maintained and good enough for a budget stay. A little away from the city but it is peaceful at the night. Recommended,Rohitflies,29-Mar-17,3
The Weekend,"A beautiful place to spend two nights . Homely atmosphere, spic n span rooms and toilets which we all require during travel to anywhere. Toileteries in the room simply awesome in the price tag. People are courteous . Only five cottages but that is my point oif view is absolutely O.K.More people , off course more business but more noise too. The authority is very choosy about the occupants and they do not allow generally young people or young couple . That is good or bad is different issue but acceptable to me. As this place is in the amidst of nature so to maintain the serenity is important. One point I did inform to the host that breakfast with sandwich is not that good in terms of quantity . They told me that whether I did ask for more or not. Yes none of us did ask for sure but at the same time it could have been asked from the part of the owner. As a result , on the departure date we wanted to know that Puri /Sabji can be had if requires . They politely said 'Yes"".If not then we were ready to pay more for extra. This is not a complaint but little professionalism could have been more enjoyable. At last , a great stay",Somnanth B,21-Aug-17,4
The Weekend,"This place is well situated away from the city, surrounded by natural beauty from all sides. Lush greenery is maintained inside the resort. The resort boasts of a small pond, where fishing can be done, but on prior request, but on a catch and release basis.
They also carry out farming of vegetables in their garden space. Apart from the cozy cottages, there are many spots to just laze about and enjoy nature. 
The food served by the staff is very delicious. Must try is the 'desi chicken'. The host and staff are very friendly, but have a set of norms for their visitors, which is very appreciable. This place is only meant for families, as maintained by the host. 
Also, for a bird-watcher like me, one would find plenty of winged species flying in and around the resort",Samayak M,11-Jul-17,5
The Weekend,"We went to The Weekend Resort last weekend and in one word the stay at this resort was awesome.The resort is exceptionally well maintained.There are 5 AC cottages and the rooms are also very well maintained with LED TV in the room (though we didn't turn it on :) ) and geyser in the bathroom.They provide wide range of toiletries.

In this resort they do organic farming and if you walk around the resort you'll get to see plenty of vegetables, fruits and flowers.Whatever food (except fish/chicken) we ordered it was picked from the garden and then cooked.The taste of the food was awesome.

If you have kids along with you, they will enjoy the place like anything.

This is such a peaceful place that it will surely rejuvenate your mind.There are few places which you can go explore from here. 3 kilometers away there is a place called Paharbhanga which can be explored in early morning.Its better to avoid this place after 10 am as it gets hot.One can also go to Dimna lake and Jubilee park in Tatanagar which is around 22-25 kms.The hotel people advised us not to go to Dimna lake after sunset and we abided by it.They were very helpful and showed great hospitality.

If you are a drinker you need to carry your booze.You will not find anything outside this resort.You can also order Mahua and their staff will bring it for you.

I would also like to do a special mention of their staff ""Gobindo"" who was very nice.This guy does his work happily and will always ensure that you are comfortable and enjoying every bit of your stay in this resort without any trouble.

The only negative thing that i found was that few food items (like Duck,Mutton) were a bit expensive.",Sandipta P,8-Mar-17,4
The Weekend,"We went to The Weekend Resort last weekend and in one word the stay at this resort was awesome.The resort is exceptionally well maintained.There are 5 AC cottages and the rooms are also very well maintained with LED TV in the room (though we didn't turn it on :) ) and geyser in the bathroom.They provide wide range of toiletries.

In this resort they do organic farming and if you walk around the resort you'll get to see plenty of vegetables, fruits and flowers.Whatever food (except fish/chicken) we ordered it was picked from the garden and then cooked.The taste of the food was awesome.

If you have kids along with you, they will enjoy the place like anything.

This is such a peaceful place that it will surely rejuvenate your mind.There are few places which you can go explore from here. 3 kilometers away there is a place called Paharbhanga which can be explored in early morning.Its better to avoid this place after 10 am as it gets hot.One can also go to Dimna lake and Jubilee park in Tatanagar which is around 22-25 kms.The hotel people advised us not to go to Dimna lake after sunset and we abided by it.They were very helpful and showed great hospitality.

If you are a drinker you need to carry your booze.You will not find anything outside this resort.You can also order Mahua and their staff will bring it for you.

I would also like to do a special mention of their staff ""Gobindo"" who was very nice.This guy does his work happily and will always ensure that you are comfortable and enjoying every bit of your stay in this resort without any trouble.

The only negative thing that i found was that few food items (like Duck,Mutton) were a bit expensive.",Arindam G,8-Mar-17,5
Hotel Darshan,"Good hotel .. you can ask for Dalkhichuri + some fry ....they will preparte for your... Good food, well connected .. staff are good .I have staying at this hotel most of the time I visit Jamshedpur. It's a very decent place to stay",goanup,14-Nov-17,3
Hotel Darshan,"I used to visit Jamshedpur frequently due to Company Business.This is the first time I stayed in this hotel. No doubt hotel is in good location of Bistupur, as communication is readily available. To be true Hotel has number of different kinds of Rooms of different budget & value to money as compared to other hotels in the city. Some rooms are small in size but it is better to check & compare before you check in, as good option is also available depending on budget. I noticed a good complimentary breakfast but less choices.Food quality is good. Wi-fi is fast. Though it is a budget hotel I will rate above average due to its location & hospitality, & I will love to visit again",Chandrasekhar P,11-Sep-17,3
Hotel Darshan,"I have staying at this hotel most of the time I visit Jamshedpur.
It's a very decent place to stay. The rooms are bit cozy, but the service and the food is excellent.
They provide bed tea at even 06.00 am. 
Buffey breakfast is good enough.

For a budget stay, this hotel is one of the best",Santanu_1234,12-May-17,4
Hotel Darshan,"Located in main market of Jamshedpur and 3 kms away from railway station, this is pretty average hotel which requires renovation. Some rooms are ok but few are below average. The room in which I stayed didn't have the door locking knob in toilet. Reception is good though.",kgt7,22-Mar-17,2
Hotel Darshan,"Stayed here twice in the last two months. Traveled on business on both occassions. Darshan is Brilliant hotel with excellent cleanliness and spacious rooms. Very economical for business travelers. Room service and restaurant serve good quality food.Breakfast is complimentary for business guests. Ambience, Service and humble staff. Overall very impressed with both staff and amenities at this hotel. Strongly recommend for business travelers traveling or visiting Jamshedpur.",Karthik M,16-Dec-16,5
Hotel Darshan,"Easily accessible 
In bishtupur opposite ram mandir
Rooms are clear but very small after keeping our stuff there is no space to move. 
Good Wi-fi 
Fr food hotel is having a restaurant where they serve only veg food and fr non veg u can order it yr room.",Sudeshna M,7-Jul-16,4
Hotel Darshan,Very clean and calm hotel enjoy your food with piece. Food quality is good price is not expensive.The staff behavior is excellent. Only demerit is food processing time is above normal u have to wait a while they serve you your order. But that's ok when you are sitting with friends time factor is not so much. Overall experience is good like to dine again and again.,Amresh_traveller,25-Jan-16,4
Hotel Darshan,Located in the heart of Jamshedpur. Easy access to almost all places in JSR. Rooms were fairly decent and the staff were very accomodating. Room service food was average and they provide complementary breakfast wven if u stay in a non-air conditioned room .Value for your money.,Ganesh K,9-Apr-16,4
Yellow Tree,"The place is wrongly called a hotel whereas it is more like a guest house. The rooms are spacious and comfortable but does not have much to offer in menu. They do have a kitchen but it seems to function only for breakfast. Usually all food is brought from an adjoining restaurant, which is horrible. ",Neeraj S,3-Jan-18,3
Yellow Tree,Poor service ...... charged 4000 rs for basic room... not having proper toiletries... gyser was not working prpoerly... its a hotel made in apartment... dinning options are limited..food quality is good... lift not working... no bell boy carried luggage to 2nd floor. One can easili find better ones at jamshedpur at this cost.,Maniis a,27-Dec-17,1
Yellow Tree,"It's designer hotel, good interior, awesome looks, bit costly, it's a romantic place, food is not available, one can just stay for beautiful experience, Nice place. Overall good. ARRANGEMENT OF FULL TIME FOOD AVAILABILITY IS REQD",Ash K,20-Jul-17,4
Yellow Tree,"Very clean rooms the room sizes are also big. Great Service by the staff. Though they don't have a full fledged kitchen, still they are able to serve great food from the restaurant next door. Felt like home.",chaitany a,17-May-17,5
Yellow Tree,"I had an opportunity to visit Jamshedpur for a official visit however got my self booked at this hotel which is located in a building and transformed the apartments into hotel rooms and it""s a family managed apartment/guest house which offers friendly service however this place does not have their own proper kitchen at all and offers limited variety of breakfast in their small pantry however the rooms are elegantly designed and offers descent service however they are dozens of better hotels in Jamshedpur than this for the price that they charge overall no big complains but certainly not worth more than rupees 2000 if they charge more than pls look for other suitable options which is not a challenge in a city like Jamshedpur.",manish_mehta,23-Dec-16,3
Yellow Tree,"I booked with a reference and after talking to Mr prashant I was assured of room after reaching late and without prior payment.
I was upgraded to suite rooms.
Rooms were very nicely done above star class.
Reception and staff are always at service with smile.
Swift check in swift late check out.
We had a in house meeting with outside guests but they were pleasently attended.
I m very happy with their effort and 3 days stay at jamshedpur.
I strongly recommend yellow tree.

Brkfast can be improved !
Whereas Sunday morning complementary Brkfast at adjacent restaurant was awsm.
Best wishes.
Value for money paid.",Dr Biswajit P,31-Jul-16,5
Hotel All Seasons,it is a good returent. you can go here with family . veg and non veg meals are avilable.the costa are also regenable. you can take lunch and dinner both.few good staters also avilble.you can visit onace.,ahaldar,17-Dec-16,4
BS Plaza,"Hotel B S PLAZA located in the Bistupur area is a good property. I stayed in last November for one night stay. The rooms are large. There is a roof top restaurant. The breakfast was complimentary and was of good Quality. The hotel tariff is also reasonable.

Would recommend to colleagues and friends for the next official tour in Jamshedpur.",tty70,29-Jan-18,4
BS Plaza,The Hotel is reasonably comfortable for a business traveller and offers complimentary breakfast which has a reasonable spread. It is centrally located and accessibility is not an issue. The only issue is that the glass panes are not sound proof and hence you may have to bear with the traffic noise in the morning.,GVBOSS,1-Dec-17,4
BS Plaza,"Have stayed here about 2 years ago, the place was much clean, staff was much courteous, hospitality was very good. Most importantly cleanliness was much better. But in last visit felt perhaps mangement has been changed etc, as hospitality have reduced, overall breakfast quality is pathetic.
They definitely need to work around the same, it was one of good budget luxury places in Jamshedpur, it has been reduced to mere Mediocre place",shs07,17-Aug-17,3
BS Plaza,The hotel is located on the main road and very near to the market so don't expect a view from the window. You will be greeted to smoking chimney and coal dumps. There is a dirty smell in the corridor and lobby and I found the stay very depressing. The TV does not work half the time and good luck finding any decent channel. The breakfast is half decent and unappealing (don't know if it was the smell). The toilet was clean but a little cramped. Overall I wouldn't think of staying there next time.,amandeep118,7-Aug-17,1
BS Plaza,"Good HOTEL Good Food good service what you want more. Only they don't have arrange for you driver . Room is good , Food is little expensive but taste is good . Break fast is nice and sufficient. Good staying",bibek113,26-Feb-17,4
BS Plaza,"Rooms are very normal and small. You will get such rooms at half this price. Food is highly expensive and quantity very less. Stay here only if you don't have any other option. Sometimes they keep buffet, sometimes they don't. Very average breakfast.",Manas P,27-Nov-16,1
BS Plaza,"Booked using TripAdvisor app through travelguru. Prices were approx 400 rs more. Don't know whom to blame but coming to the Hotel, it was good. Staff were excellent, very accommodative. Food was good but could have been cheaper",pranay6687,27-Nov-16,4
BS Plaza,excellent location as it is in center of city. rooms are decent. the price seemed a bit high bt that's ok. hotel services are good. 1st floor rooms are best. banquet hall is a bit small bt ok for small parties.,adirups,28-Aug-16,3
BS Plaza,A budget hotel on the Busy Bistupur main road. Rooms are small and smelly. Service is ok. Food is average. Suitable only for 1-2 days stay on buisness trip. on Busy commercial street and easily accessible,aveejar,21-Jan-16,3
